customer_id,company_name,industry,team_size_bucket,plan_tier,signup_date,date,mrr,cac,ltv,nps_score,is_active,is_new,is_churned
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-02-01,66.56,159,1362,7,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-02-01,6382,2803,418187,7,1,0,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-02-01,187.42,171,3751,5,1,0,1
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-03-04,123.18,157,2472,6,1,0,0
18,"Zen Analytics",EdTech,11-50,Starter,2023-03-04,2023-03-04,183.16,141,3775,6,1,1,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-03-04,359.4,539,11926,7,1,0,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-03-04,716.98,545,23892,8,1,0,0
48,"Prime Works",HealthTech,11-50,Starter,2023-03-04,2023-03-04,181.42,146,3685,5,1,1,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-03-04,883.45,619,29927,7,1,0,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-03-04,687.24,664,22477,8,1,0,1
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-03-04,158.81,129,3267,5,1,0,0
74,"Apex Tech",FinTech,11-50,Growth,2023-03-04,2023-03-04,340.99,649,11544,8,1,1,0
76,"Red Tech",E-Commerce,11-50,Growth,2023-03-04,2023-03-04,800.9,649,25937,7,1,1,0
84,"Clear Hub",SaaS,51-200,Growth,2023-03-04,2023-03-04,969.6,583,32656,6,1,1,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-03-04,152.84,147,2988,7,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-03-04,191.48,145,3899,6,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-03-04,921.02,652,31023,6,1,0,1
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-03-04,68.13,159,1362,5,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-03-04,6289.74,2803,418187,8,1,0,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-03-04,0,171,3751,7,0,0,0
136,"Red Flow",HealthTech,11-50,Growth,2023-03-04,2023-03-04,536.57,553,18324,8,1,1,0
139,"Flux Flow",SaaS,11-50,Starter,2023-03-04,2023-03-04,88.7,132,1792,6,1,1,0
9,"Core Analytics",SaaS,51-200,Growth,2023-03-31,2023-03-31,581.3,601,19228,7,1,1,0
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-03-31,121.56,157,2472,5,1,0,0
18,"Zen Analytics",EdTech,11-50,Starter,2023-03-04,2023-03-31,194.22,141,3775,5,1,0,0
20,"Dash Analytics",FinTech,11-50,Starter,2023-03-31,2023-03-31,159.3,167,3248,7,1,1,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-03-31,365.02,539,11926,7,1,0,0
42,"Smart Works",FinTech,51-200,Growth,2023-03-31,2023-03-31,912.86,625,29973,8,1,1,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-03-31,698.83,545,23892,6,1,0,0
48,"Prime Works",HealthTech,11-50,Starter,2023-03-04,2023-03-31,181.07,146,3685,6,1,0,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-03-31,918.84,619,29927,7,1,0,0
53,"Nova Works",SaaS,51-200,Growth,2023-03-31,2023-03-31,954.38,541,32711,6,1,1,0
55,"Blue Works",FinTech,200+,Enterprise,2023-03-31,2023-03-31,5634.13,3191,377504,9,1,1,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-03-31,0,664,22477,7,0,0,0
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-03-31,168.2,129,3267,7,1,0,0
74,"Apex Tech",FinTech,11-50,Growth,2023-03-04,2023-03-31,354.34,649,11544,6,1,0,0
76,"Red Tech",E-Commerce,11-50,Growth,2023-03-04,2023-03-31,794.16,649,25937,7,1,0,0
84,"Clear Hub",SaaS,51-200,Growth,2023-03-04,2023-03-31,950.94,583,32656,6,1,0,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-03-31,147.22,147,2988,7,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-03-31,193.1,145,3899,6,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-03-31,0,652,31023,6,0,0,0
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-03-31,69.74,159,1362,6,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-03-31,6228.74,2803,418187,8,1,0,0
131,"Peak Flow",SaaS,51-200,Growth,2023-03-31,2023-03-31,646.35,677,20929,8,1,1,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-03-31,0,171,3751,6,0,0,0
136,"Red Flow",HealthTech,11-50,Growth,2023-03-04,2023-03-31,540.93,553,18324,7,1,0,0
139,"Flux Flow",SaaS,11-50,Starter,2023-03-04,2023-03-31,87.19,132,1792,6,1,0,0
150,"Edge Sync",SaaS,11-50,Starter,2023-03-31,2023-03-31,178.76,151,3593,7,1,1,0
9,"Core Analytics",SaaS,51-200,Growth,2023-03-31,2023-05-01,582.48,601,19228,8,1,0,0
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-05-01,120.6,157,2472,7,1,0,0
18,"Zen Analytics",EdTech,11-50,Starter,2023-03-04,2023-05-01,191.31,141,3775,7,1,0,0
20,"Dash Analytics",FinTech,11-50,Starter,2023-03-31,2023-05-01,164.24,167,3248,6,1,0,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-05-01,351.75,539,11926,7,1,0,0
31,"Peak Labs",SaaS,51-200,Growth,2023-05-01,2023-05-01,489.14,658,16737,7,1,1,0
36,"Red Labs",FinTech,11-50,Growth,2023-05-01,2023-05-01,556.44,524,18065,8,1,1,0
42,"Smart Works",FinTech,51-200,Growth,2023-03-31,2023-05-01,915.49,625,29973,7,1,0,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-05-01,734.18,545,23892,7,1,0,0
45,"Bright Works",E-Commerce,1-10,Starter,2023-05-01,2023-05-01,67.54,161,1386,5,1,1,0
48,"Prime Works",HealthTech,11-50,Starter,2023-03-04,2023-05-01,183.2,146,3685,5,1,0,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-05-01,904.39,619,29927,7,1,0,0
53,"Nova Works",SaaS,51-200,Growth,2023-03-31,2023-05-01,954.29,541,32711,6,1,0,0
55,"Blue Works",FinTech,200+,Enterprise,2023-03-31,2023-05-01,5690.5,3191,377504,8,1,0,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-05-01,0,664,22477,8,0,0,0
61,"Quick Tech",EdTech,11-50,Growth,2023-05-01,2023-05-01,762.67,658,25778,6,1,1,0
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-05-01,162.13,129,3267,7,1,0,0
68,"Prime Tech",HealthTech,11-50,Starter,2023-05-01,2023-05-01,59.34,163,1199,7,1,1,0
69,"Core Tech",SaaS,51-200,Enterprise,2023-05-01,2023-05-01,4716.21,3083,313477,8,1,1,0
74,"Apex Tech",FinTech,11-50,Growth,2023-03-04,2023-05-01,340.48,649,11544,8,1,0,0
76,"Red Tech",E-Commerce,11-50,Growth,2023-03-04,2023-05-01,776.69,649,25937,8,1,0,0
78,"Zen Tech",FinTech,11-50,Starter,2023-05-01,2023-05-01,113.9,162,2217,5,1,1,0
84,"Clear Hub",SaaS,51-200,Growth,2023-03-04,2023-05-01,969.35,583,32656,7,1,0,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-05-01,150.05,147,2988,6,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-05-01,189.8,145,3899,7,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-05-01,0,652,31023,8,0,0,0
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-05-01,69.59,159,1362,7,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-05-01,6322.75,2803,418187,9,1,0,0
125,"Bright Flow",FinTech,1-10,Starter,2023-05-01,2023-05-01,54.42,143,1058,7,1,1,0
131,"Peak Flow",SaaS,51-200,Growth,2023-03-31,2023-05-01,627.7,677,20929,8,1,0,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-05-01,0,171,3751,7,0,0,0
136,"Red Flow",HealthTech,11-50,Growth,2023-03-04,2023-05-01,565.09,553,18324,6,1,0,0
139,"Flux Flow",SaaS,11-50,Starter,2023-03-04,2023-05-01,91.32,132,1792,7,1,0,0
149,"Core Sync",E-Commerce,11-50,Growth,2023-05-01,2023-05-01,525.42,520,17028,8,1,1,0
150,"Edge Sync",SaaS,11-50,Starter,2023-03-31,2023-05-01,180.88,151,3593,6,1,0,0
5,"Bright Analytics",E-Commerce,11-50,Starter,2023-05-31,2023-05-31,86.98,132,1767,5,1,1,0
9,"Core Analytics",SaaS,51-200,Growth,2023-03-31,2023-05-31,580.51,601,19228,8,1,0,0
13,"Nova Analytics",HealthTech,51-200,Growth,2023-05-31,2023-05-31,1002.37,627,33036,7,1,1,0
16,"Red Analytics",EdTech,11-50,Starter,2023-05-31,2023-05-31,66.49,170,1311,7,1,1,0
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-05-31,122.37,157,2472,6,1,0,0
18,"Zen Analytics",EdTech,11-50,Starter,2023-03-04,2023-05-31,189.88,141,3775,7,1,0,0
20,"Dash Analytics",FinTech,11-50,Starter,2023-03-31,2023-05-31,160.28,167,3248,6,1,0,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-05-31,352.21,539,11926,6,1,0,0
31,"Peak Labs",SaaS,51-200,Growth,2023-05-01,2023-05-31,504.83,658,16737,7,1,0,0
36,"Red Labs",FinTech,11-50,Growth,2023-05-01,2023-05-31,535,524,18065,7,1,0,0
40,"Dash Labs",E-Commerce,11-50,Starter,2023-05-31,2023-05-31,102.02,169,2001,6,1,1,0
42,"Smart Works",FinTech,51-200,Growth,2023-03-31,2023-05-31,919.71,625,29973,7,1,0,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-05-31,736.59,545,23892,6,1,0,0
45,"Bright Works",E-Commerce,1-10,Starter,2023-05-01,2023-05-31,69.59,161,1386,7,1,0,0
48,"Prime Works",HealthTech,11-50,Starter,2023-03-04,2023-05-31,183.78,146,3685,5,1,0,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-05-31,924.21,619,29927,6,1,0,0
51,"Peak Works",EdTech,51-200,Growth,2023-05-31,2023-05-31,873.94,606,28659,7,1,1,0
53,"Nova Works",SaaS,51-200,Growth,2023-03-31,2023-05-31,975.82,541,32711,8,1,0,0
55,"Blue Works",FinTech,200+,Enterprise,2023-03-31,2023-05-31,5738.3,3191,377504,7,1,0,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-05-31,0,664,22477,6,0,0,0
61,"Quick Tech",EdTech,11-50,Growth,2023-05-01,2023-05-31,791.4,658,25778,6,1,0,0
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-05-31,166.1,129,3267,7,1,0,0
68,"Prime Tech",HealthTech,11-50,Starter,2023-05-01,2023-05-31,60.1,163,1199,7,1,0,0
69,"Core Tech",SaaS,51-200,Enterprise,2023-05-01,2023-05-31,4733.25,3083,313477,7,1,0,0
74,"Apex Tech",FinTech,11-50,Growth,2023-03-04,2023-05-31,352.35,649,11544,6,1,0,0
76,"Red Tech",E-Commerce,11-50,Growth,2023-03-04,2023-05-31,784.31,649,25937,6,1,0,0
78,"Zen Tech",FinTech,11-50,Starter,2023-05-01,2023-05-31,113.17,162,2217,6,1,0,0
84,"Clear Hub",SaaS,51-200,Growth,2023-03-04,2023-05-31,995.7,583,32656,6,1,0,0
85,"Bright Hub",SaaS,11-50,Starter,2023-05-31,2023-05-31,64.46,131,1274,6,1,1,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-05-31,148.4,147,2988,5,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-05-31,193.11,145,3899,7,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-05-31,0,652,31023,8,0,0,0
93,"Nova Hub",FinTech,1-10,Starter,2023-05-31,2023-05-31,191.6,162,3738,7,1,1,0
99,"Flux Hub",FinTech,11-50,Growth,2023-05-31,2023-05-31,463.99,624,15570,8,1,1,0
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-05-31,66.13,159,1362,7,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-05-31,6422.3,2803,418187,8,1,0,0
125,"Bright Flow",FinTech,1-10,Starter,2023-05-01,2023-05-31,53.32,143,1058,5,1,0,0
126,"Fast Flow",SaaS,51-200,Growth,2023-05-31,2023-05-31,743.78,539,24145,6,1,1,0
131,"Peak Flow",SaaS,51-200,Growth,2023-03-31,2023-05-31,630.27,677,20929,6,1,0,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-05-31,0,171,3751,7,0,0,0
136,"Red Flow",HealthTech,11-50,Growth,2023-03-04,2023-05-31,552.8,553,18324,7,1,0,0
139,"Flux Flow",SaaS,11-50,Starter,2023-03-04,2023-05-31,87.95,132,1792,7,1,0,0
149,"Core Sync",E-Commerce,11-50,Growth,2023-05-01,2023-05-31,505.48,520,17028,6,1,0,0
150,"Edge Sync",SaaS,11-50,Starter,2023-03-31,2023-05-31,178.01,151,3593,7,1,0,0
3,"Bold Analytics",E-Commerce,11-50,Starter,2023-07-01,2023-07-01,107.38,168,2168,6,1,1,0
5,"Bright Analytics",E-Commerce,11-50,Starter,2023-05-31,2023-07-01,88.41,132,1767,5,1,0,0
9,"Core Analytics",SaaS,51-200,Growth,2023-03-31,2023-07-01,560.47,601,19228,6,1,0,0
13,"Nova Analytics",HealthTech,51-200,Growth,2023-05-31,2023-07-01,1004.77,627,33036,8,1,0,0
16,"Red Analytics",EdTech,11-50,Starter,2023-05-31,2023-07-01,63.94,170,1311,6,1,0,0
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-07-01,125.07,157,2472,6,1,0,0
18,"Zen Analytics",EdTech,11-50,Starter,2023-03-04,2023-07-01,192.4,141,3775,7,1,0,0
20,"Dash Analytics",FinTech,11-50,Starter,2023-03-31,2023-07-01,165.63,167,3248,5,1,0,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-07-01,350.01,539,11926,7,1,0,1
31,"Peak Labs",SaaS,51-200,Growth,2023-05-01,2023-07-01,511.44,658,16737,6,1,0,0
35,"Blue Labs",EdTech,1-10,Starter,2023-07-01,2023-07-01,145.03,155,2921,6,1,1,0
36,"Red Labs",FinTech,11-50,Growth,2023-05-01,2023-07-01,531.88,524,18065,8,1,0,0
40,"Dash Labs",E-Commerce,11-50,Starter,2023-05-31,2023-07-01,98.93,169,2001,5,1,0,0
41,"Quick Works",SaaS,11-50,Starter,2023-07-01,2023-07-01,62.49,130,1221,6,1,1,0
42,"Smart Works",FinTech,51-200,Growth,2023-03-31,2023-07-01,919.46,625,29973,8,1,0,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-07-01,710.61,545,23892,6,1,0,0
45,"Bright Works",E-Commerce,1-10,Starter,2023-05-01,2023-07-01,67.49,161,1386,6,1,0,0
48,"Prime Works",HealthTech,11-50,Starter,2023-03-04,2023-07-01,185.34,146,3685,6,1,0,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-07-01,902.17,619,29927,8,1,0,0
51,"Peak Works",EdTech,51-200,Growth,2023-05-31,2023-07-01,842.9,606,28659,7,1,0,0
53,"Nova Works",SaaS,51-200,Growth,2023-03-31,2023-07-01,995.03,541,32711,6,1,0,0
55,"Blue Works",FinTech,200+,Enterprise,2023-03-31,2023-07-01,5539.34,3191,377504,7,1,0,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-07-01,0,664,22477,7,0,0,0
61,"Quick Tech",EdTech,11-50,Growth,2023-05-01,2023-07-01,794,658,25778,7,1,0,0
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-07-01,165.31,129,3267,6,1,0,0
67,"Sharp Tech",E-Commerce,11-50,Growth,2023-07-01,2023-07-01,878.25,512,29131,6,1,1,0
68,"Prime Tech",HealthTech,11-50,Starter,2023-05-01,2023-07-01,60.47,163,1199,5,1,0,0
69,"Core Tech",SaaS,51-200,Enterprise,2023-05-01,2023-07-01,4788.13,3083,313477,9,1,0,0
72,"Deep Tech",EdTech,1-10,Starter,2023-07-01,2023-07-01,152.1,167,3093,6,1,1,0
74,"Apex Tech",FinTech,11-50,Growth,2023-03-04,2023-07-01,354.56,649,11544,7,1,0,0
76,"Red Tech",E-Commerce,11-50,Growth,2023-03-04,2023-07-01,770.38,649,25937,6,1,0,0
78,"Zen Tech",FinTech,11-50,Starter,2023-05-01,2023-07-01,113.19,162,2217,6,1,0,0
84,"Clear Hub",SaaS,51-200,Growth,2023-03-04,2023-07-01,989.96,583,32656,6,1,0,0
85,"Bright Hub",SaaS,11-50,Starter,2023-05-31,2023-07-01,62.23,131,1274,5,1,0,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-07-01,146.05,147,2988,6,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-07-01,192.32,145,3899,5,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-07-01,0,652,31023,7,0,0,0
93,"Nova Hub",FinTech,1-10,Starter,2023-05-31,2023-07-01,191.47,162,3738,7,1,0,0
99,"Flux Hub",FinTech,11-50,Growth,2023-05-31,2023-07-01,471.64,624,15570,7,1,0,0
104,"Clear Base",FinTech,51-200,Growth,2023-07-01,2023-07-01,588.7,680,19497,7,1,1,0
110,"Edge Base",EdTech,51-200,Growth,2023-07-01,2023-07-01,624.39,560,21141,8,1,1,0
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-07-01,67,159,1362,7,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-07-01,6221.25,2803,418187,9,1,0,0
125,"Bright Flow",FinTech,1-10,Starter,2023-05-01,2023-07-01,53.77,143,1058,7,1,0,0
126,"Fast Flow",SaaS,51-200,Growth,2023-05-31,2023-07-01,738.07,539,24145,8,1,0,0
127,"Sharp Flow",SaaS,51-200,Growth,2023-07-01,2023-07-01,782.51,642,25711,6,1,1,0
131,"Peak Flow",SaaS,51-200,Growth,2023-03-31,2023-07-01,641.6,677,20929,6,1,0,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-07-01,0,171,3751,7,0,0,0
136,"Red Flow",HealthTech,11-50,Growth,2023-03-04,2023-07-01,545.5,553,18324,6,1,0,0
139,"Flux Flow",SaaS,11-50,Starter,2023-03-04,2023-07-01,90.51,132,1792,7,1,0,0
143,"Bold Sync",FinTech,200+,Enterprise,2023-07-01,2023-07-01,2291.99,3099,154093,9,1,1,0
148,"Prime Sync",FinTech,1-10,Starter,2023-07-01,2023-07-01,121.07,142,2462,7,1,1,0
149,"Core Sync",E-Commerce,11-50,Growth,2023-05-01,2023-07-01,520.54,520,17028,7,1,0,0
150,"Edge Sync",SaaS,11-50,Starter,2023-03-31,2023-07-01,181.35,151,3593,6,1,0,0
3,"Bold Analytics",E-Commerce,11-50,Starter,2023-07-01,2023-07-31,109.49,168,2168,7,1,0,0
5,"Bright Analytics",E-Commerce,11-50,Starter,2023-05-31,2023-07-31,88.26,132,1767,7,1,0,0
9,"Core Analytics",SaaS,51-200,Growth,2023-03-31,2023-07-31,576.37,601,19228,7,1,0,0
13,"Nova Analytics",HealthTech,51-200,Growth,2023-05-31,2023-07-31,993.84,627,33036,8,1,0,0
16,"Red Analytics",EdTech,11-50,Starter,2023-05-31,2023-07-31,66.59,170,1311,6,1,0,0
17,"Green Analytics",E-Commerce,11-50,Starter,2023-01-01,2023-07-31,122.1,157,2472,6,1,0,0
18,"Zen Analytics",EdTech,11-50,Starter,2023-03-04,2023-07-31,186.03,141,3775,7,1,0,0
20,"Dash Analytics",FinTech,11-50,Starter,2023-03-31,2023-07-31,162.81,167,3248,5,1,0,0
25,"Bright Labs",SaaS,11-50,Growth,2023-02-01,2023-07-31,0,539,11926,6,0,0,0
31,"Peak Labs",SaaS,51-200,Growth,2023-05-01,2023-07-31,511.86,658,16737,7,1,0,0
34,"Apex Labs",EdTech,11-50,Growth,2023-07-31,2023-07-31,418.62,570,14028,6,1,1,0
35,"Blue Labs",EdTech,1-10,Starter,2023-07-01,2023-07-31,147.88,155,2921,7,1,0,0
36,"Red Labs",FinTech,11-50,Growth,2023-05-01,2023-07-31,538.84,524,18065,8,1,0,0
40,"Dash Labs",E-Commerce,11-50,Starter,2023-05-31,2023-07-31,101.02,169,2001,7,1,0,0
41,"Quick Works",SaaS,11-50,Starter,2023-07-01,2023-07-31,62.27,130,1221,7,1,0,0
42,"Smart Works",FinTech,51-200,Growth,2023-03-31,2023-07-31,907.97,625,29973,8,1,0,0
43,"Bold Works",E-Commerce,51-200,Enterprise,2023-07-31,2023-07-31,5430.04,3323,362940,8,1,1,0
44,"Clear Works",SaaS,11-50,Growth,2023-01-01,2023-07-31,702.79,545,23892,8,1,0,0
45,"Bright Works",E-Commerce,1-10,Starter,2023-05-01,2023-07-31,69.39,161,1386,6,1,0,0
48,"Prime Works",HealthTech,11-50,Starter,2023-03-04,2023-07-31,184.22,146,3685,5,1,0,0
50,"Edge Works",SaaS,11-50,Growth,2023-02-01,2023-07-31,874.15,619,29927,8,1,0,1
51,"Peak Works",EdTech,51-200,Growth,2023-05-31,2023-07-31,837.14,606,28659,6,1,0,0
53,"Nova Works",SaaS,51-200,Growth,2023-03-31,2023-07-31,985.95,541,32711,8,1,0,0
55,"Blue Works",FinTech,200+,Enterprise,2023-03-31,2023-07-31,5595.63,3191,377504,9,1,0,0
58,"Zen Works",E-Commerce,51-200,Growth,2023-02-01,2023-07-31,0,664,22477,8,0,0,0
59,"Flux Works",SaaS,51-200,Growth,2023-07-31,2023-07-31,722.88,660,24491,7,1,1,0
61,"Quick Tech",EdTech,11-50,Growth,2023-05-01,2023-07-31,768.63,658,25778,6,1,0,0
66,"Fast Tech",EdTech,1-10,Starter,2023-02-01,2023-07-31,160.83,129,3267,6,1,0,0
67,"Sharp Tech",E-Commerce,11-50,Growth,2023-07-01,2023-07-31,852.03,512,29131,8,1,0,0
68,"Prime Tech",HealthTech,11-50,Starter,2023-05-01,2023-07-31,60.36,163,1199,6,1,0,0
69,"Core Tech",SaaS,51-200,Enterprise,2023-05-01,2023-07-31,4737.19,3083,313477,9,1,0,0
72,"Deep Tech",EdTech,1-10,Starter,2023-07-01,2023-07-31,153.05,167,3093,5,1,0,0
74,"Apex Tech",FinTech,11-50,Growth,2023-03-04,2023-07-31,353.94,649,11544,6,1,0,0
76,"Red Tech",E-Commerce,11-50,Growth,2023-03-04,2023-07-31,784.56,649,25937,7,1,0,0
78,"Zen Tech",FinTech,11-50,Starter,2023-05-01,2023-07-31,110.21,162,2217,5,1,0,0
84,"Clear Hub",SaaS,51-200,Growth,2023-03-04,2023-07-31,1006.45,583,32656,7,1,0,1
85,"Bright Hub",SaaS,11-50,Starter,2023-05-31,2023-07-31,62.61,131,1274,7,1,0,0
86,"Fast Hub",EdTech,11-50,Starter,2023-01-01,2023-07-31,147.74,147,2988,6,1,0,0
89,"Core Hub",E-Commerce,11-50,Starter,2023-01-01,2023-07-31,190.05,145,3899,7,1,0,0
91,"Peak Hub",E-Commerce,11-50,Growth,2023-01-01,2023-07-31,0,652,31023,6,0,0,0
93,"Nova Hub",FinTech,1-10,Starter,2023-05-31,2023-07-31,184.09,162,3738,6,1,0,0
99,"Flux Hub",FinTech,11-50,Growth,2023-05-31,2023-07-31,465.18,624,15570,8,1,0,0
104,"Clear Base",FinTech,51-200,Growth,2023-07-01,2023-07-31,594.05,680,19497,8,1,0,1
110,"Edge Base",EdTech,51-200,Growth,2023-07-01,2023-07-31,638.6,560,21141,7,1,0,0
114,"Apex Base",E-Commerce,11-50,Starter,2023-01-01,2023-07-31,67.69,159,1362,7,1,0,0
121,"Quick Flow",SaaS,200+,Enterprise,2023-01-01,2023-07-31,6368.48,2803,418187,9,1,0,0
125,"Bright Flow",FinTech,1-10,Starter,2023-05-01,2023-07-31,54.22,143,1058,6,1,0,0
126,"Fast Flow",SaaS,51-200,Growth,2023-05-31,2023-07-31,717.39,539,24145,8,1,0,0
127,"Sharp Flow",SaaS,51-200,Growth,2023-07-01,2023-07-31,782.23,642,25711,8,1,0,0
131,"Peak Flow",SaaS,51-200,Growth,2023-03-31,2023-07-31,646.18,677,20929,8,1,0,0
134,"Apex Flow",SaaS,1-10,Starter,2023-01-01,2023-07-31,0,171,3751,5,0,0,0
136,"Red Flow",HealthTech,11-50,Growth,2023-03-04,2023-07-31,545.1,553,18324,8,1,0,0
139,"Flux Flow",SaaS,11-50,Starter,2023-03-04,2023-07-31,87.23,132,1792,7,1,0,0
143,"Bold Sync",FinTech,200+,Enterprise,2023-07-01,2023-07-31,2329.63,3099,154093,7,1,0,0
148,"Prime Sync",FinTech,1-10,Starter,2023-07-01,2023-07-31,122.36,142,2462,6,1,0,0
149,"Core Sync",E-Commerce,11-50,Growth,2023-05-01,2023-07-31,518.74,520,17028,6,1,0,0
150,"Edge Sync",SaaS,11-50,Starter,2023-03-31,2023-07-31,183.23,151,3593,7,1,0,0
